Age,Gender,Country,self_employed,family_history,treatment,remote_work,anonymity,leave,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,support_available,disc_MH_atwork
23,male,Americas,No,No,No,No,Don't know,Don't know,No,No,Yes,Yes,No,0.5,0.3333333333333333
24,male,Americas,No,No,No,No,Yes,Very easy,No,Maybe,Yes,Yes,No,0.25,0.6666666666666666
32,male,Americas,No,No,No,Yes,Don't know,Very difficult,No,No,Maybe,Yes,No,0.25,0.5
34,male,Australia and Oceania,Yes,No,No,Yes,Don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,0.75,0.3333333333333333
24,male,Americas,No,No,No,No,Don't know,Very easy,No,Maybe,Maybe,Yes,No,0.5,0.3333333333333333
26,male,Europe,Yes,No,Yes,No,Don't know,Don't know,No,No,Maybe,Yes,No,0.25,0.5
36,male,Americas,No,No,Yes,No,Don't know,Don't know,No,No,Maybe,Don't know,Yes,0.5,0.5
41,male,Americas,No,No,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Maybe,No,No,0.625,0.3333333333333333
38,male,Europe,No,No,Yes,No,Don't know,Very difficult,No,No,Maybe,No,No,0.5,0.3333333333333333
38,male,Americas,No,No,No,Yes,Don't know,Don't know,Maybe,No,Maybe,No,No,0.375,0.6666666666666666
30,male,Europe,No,No,No,No,Yes,Somewhat easy,No,No,No,Yes,No,0.375,0.3333333333333333
25,male,Europe,No,No,No,No,Don't know,Somewhat difficult,Maybe,No,Maybe,No,No,0.0,0.3333333333333333
37,male,Americas,No,Yes,Yes,No,Don't know,Don't know,No,No,Yes,Don't know,No,0.625,0.5
34,male,Europe,No,Yes,No,No,Yes,Somewhat difficult,No,No,Yes,No,Yes,0.0,0.5
37,female,Americas,No,Yes,Yes,No,Yes,Somewhat easy,No,No,Maybe,Yes,No,1.0,0.3333333333333333
28,female,Americas,No,Yes,Yes,No,Yes,Don't know,No,No,No,No,Yes,1.0,0.5
22,male,Europe,No,No,No,No,Don't know,Don't know,No,Maybe,Maybe,No,No,0.125,0.5
34,male,Americas,No,Yes,Yes,No,Don't know,Somewhat difficult,No,No,Maybe,No,Yes,0.0,0.5
33,male,Americas,No,Yes,Yes,No,Yes,Somewhat easy,No,No,No,Don't know,No,1.0,0.5
25,male,Africa,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,No,No,0.0,0.6666666666666666
27,male,Americas,No,No,No,Yes,Yes,Somewhat easy,No,Maybe,Maybe,Yes,No,0.75,0.5
40,male,Americas,No,No,Yes,Yes,Yes,Don't know,Maybe,No,Maybe,No,Yes,1.0,0.3333333333333333
21,male,Americas,No,No,Yes,No,Don't know,Don't know,No,No,Maybe,Don't know,No,0.25,0.16666666666666666
29,male,Europe,No,No,No,No,Yes,Very easy,No,Maybe,Yes,Yes,No,0.0,0.6666666666666666
32,male,Americas,No,Yes,Yes,Yes,Don't know,Don't know,No,No,Yes,Don't know,No,0.0,0.8333333333333333
29,female,Americas,No,Yes,Yes,Yes,Yes,Don't know,No,Maybe,Yes,Don't know,No,0.875,0.3333333333333333
23,male,Americas,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,No,0.25,0.5
28,male,Americas,No,Yes,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,0.375,0.5
31,male,Americas,No,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,No,0.875,0.5
27,male,Europe,No,No,No,No,No,Very easy,Maybe,No,No,Don't know,No,0.5,0.8333333333333333
24,male,Americas,No,No,No,No,Don't know,Don't know,No,Maybe,Maybe,Don't know,No,0.375,0.6666666666666666
29,male,Americas,No,No,No,No,Don't know,Somewhat difficult,No,No,Maybe,Don't know,No,0.0,0.3333333333333333
23,female,Europe,No,No,Yes,No,Don't know,Don't know,Maybe,No,Maybe,Yes,No,0.5,0.5
42,male,Americas,No,No,No,Yes,Don't know,Somewhat easy,No,No,No,Yes,No,0.5,0.5
24,male,Europe,No,No,No,No,Don't know,Don't know,No,No,Yes,No,No,0.0,0.6666666666666666
25,male,Australia and Oceania,No,Yes,Yes,No,No,Very difficult,Maybe,No,Yes,No,Yes,0.25,0.3333333333333333
